sleep_s,test_case,producers,consumers,elapsed_s,produced,consumed,throughput
0.00001,1,1,1,.150284000,18,0,0
0.00001,2,4,1,.005377000,43,0,0
0.00001,3,16,1,.007173000,838,3,7531.54
0.00001,4,1,2,.004669000,15,0,0
0.00001,5,4,2,.004799000,91,19,282751
0.00001,6,16,2,.005265000,364,14,57909.7
0.00001,7,1,4,.004919000,63,3,107515
0.00001,8,4,4,.004647000,142,18,208999
0.00001,9,16,4,.005348000,383,32,111986
0.00001,10,1,16,.006051000,76,110,657137
0.00001,11,4,16,.005438000,125,294,1.13793e+06
0.00001,12,16,16,.005260000,359,44,125436
0.00002,1,1,1,.005584000,36,0,0
0.00002,2,4,1,.005074000,110,13,195804
0.00002,3,16,1,.005684000,352,17,78042.8
0.00002,4,1,2,.004931000,17,0,0
0.00002,5,4,2,.004990000,227,19,213127
0.00002,6,16,2,.005290000,242,16,93023.3
0.00002,7,1,4,.004979000,68,35,558773
0.00002,8,4,4,.004538000,162,59,493381
0.00002,9,16,4,.005991000,422,48,149906
0.00002,10,1,16,.005075000,74,163,710441
0.00002,11,4,16,.005210000,214,202,726075
0.00002,12,16,16,.005155000,454,118,269560
0.00003,1,1,1,.005679000,100,41,700847
0.00003,2,4,1,.004801000,138,9,104854
0.00003,3,16,1,.005179000,363,8,32837.4
0.00003,4,1,2,.004777000,47,0,0
0.00003,5,4,2,.005284000,107,38,364655
0.00003,6,16,2,.005211000,356,19,72669.1
0.00003,7,1,4,.004642000,65,19,215754
0.00003,8,4,4,.005158000,128,102,813021
0.00003,9,16,4,.005887000,490,59,183551
0.00003,10,1,16,.005235000,114,281,1.03904e+06
0.00003,11,4,16,.006060000,124,182,667377
0.00003,12,16,16,.010421000,402,484,834753
0.00004,1,1,1,.005435000,72,3,36492.4
0.00004,2,4,1,.006191000,122,17,165718
0.00004,3,16,1,.005739000,288,1,4365.21
0.00004,4,1,2,.006166000,51,0,0
0.00004,5,4,2,.006171000,141,40,352553
0.00004,6,16,2,.005348000,408,13,47080.1
0.00004,7,1,4,.004919000,42,0,0
0.00004,8,4,4,.005384000,124,50,351551
0.00004,9,16,4,.005659000,395,50,153610
0.00004,10,1,16,.005472000,114,346,1.22005e+06
0.00004,11,4,16,.005176000,170,186,742553
0.00004,12,16,16,.005366000,640,182,358896
0.00005,1,1,1,.004966000,151,99,1.17374e+06
0.00005,2,4,1,.005441000,185,27,241032
0.00005,3,16,1,.005344000,411,23,75102
0.00005,4,1,2,.004689000,88,26,354628
0.00005,5,4,2,.004820000,155,44,406321
0.00005,6,16,2,.005527000,429,21,65650.6
0.00005,7,1,4,.004994000,27,0,0
0.00005,8,4,4,.005093000,153,58,424335
0.00005,9,16,4,.004905000,437,21,67942.9
0.00005,10,1,16,.005674000,71,108,413732
0.00005,11,4,16,.005679000,167,300,839238
0.00005,12,16,16,.007091000,518,192,383562
0.00006,1,1,1,.005533000,144,84,887768
0.00006,2,4,1,.004893000,143,19,164326
0.00006,3,16,1,.006103000,299,12,39856.1
