sleep_s,test_case,producers,consumers,elapsed_s,produced,consumed,throughput
0.00001,1,1,1,.009686000,13,12,231884
0.00001,2,4,1,.004990000,77,5,116424
0.00001,3,16,1,.005051000,255,0,0
0.00001,4,1,2,.004871000,47,61,1.38418e+06
0.00001,5,4,2,.004719000,53,9,169557
0.00001,6,16,2,.005878000,583,79,147848
0.00001,7,1,4,.005141000,8,44,1.39772e+06
0.00001,8,4,4,.005282000,174,33,334928
0.00001,9,16,4,.004773000,399,14,46550.3
0.00001,10,1,16,.005673000,14,663,1.34788e+06
0.00001,11,4,16,.005383000,190,230,1.06092e+06
0.00001,12,16,16,.005104000,503,152,321003
0.00002,1,1,1,.005269000,80,32,467354
0.00002,2,4,1,.004636000,117,20,311337
0.00002,3,16,1,.005057000,297,31,136339
0.00002,4,1,2,.005329000,18,30,648653
0.00002,5,4,2,.005006000,89,10,180064
0.00002,6,16,2,.006402000,339,0,187182
0.00002,7,1,4,.004818000,64,47,744069
0.00002,8,4,4,.005265000,83,31,304294
0.00002,9,16,4,.006945000,397,47,137290
0.00002,10,1,16,.005341000,74,237,1.26233e+06
0.00002,11,4,16,.005657000,191,206,831483
0.00002,12,16,16,.007332000,1977,727,370402
0.00003,1,1,1,.005684000,105,97,1.58973e+06
0.00003,2,4,1,.010805000,94,14,169252
0.00003,3,16,1,.006264000,410,21,55789.3
0.00003,4,1,2,.005513000,67,46,683683
0.00003,5,4,2,.011924000,605,303,712871
0.00003,6,16,2,.006181000,545,33,79895.2
0.00003,7,1,4,.005499000,59,96,944136
0.00003,8,4,4,.005331000,169,59,497656
0.00003,9,16,4,.007340000,848,15,38400
0.00003,10,1,16,.005902000,44,194,1.13933e+06
0.00003,11,4,16,.006070000,206,456,1.26603e+06
0.00003,12,16,16,.005785000,580,261,434703
0.00004,1,1,1,.004926000,128,120,1.63636e+06
0.00004,2,4,1,.005261000,96,35,412336
0.00004,3,16,1,.006501000,545,23,48192.8
0.00004,4,1,2,.004754000,60,84,1.07894e+06
0.00004,5,4,2,.005051000,116,22,298879
0.00004,6,16,2,.005790000,446,16,53819.1
0.00004,7,1,4,.005357000,53,114,1.16504e+06
0.00004,8,4,4,.005390000,99,65,563454
0.00004,9,16,4,.004911000,494,25,63104.9
0.00004,10,1,16,.005686000,83,595,1.48415e+06
0.00004,11,4,16,.005467000,146,301,1.00081e+06
0.00004,12,16,16,.005938000,538,348,571158
0.00005,1,1,1,.005024000,129,130,1.55396e+06
0.00005,2,4,1,.005080000,154,25,252157
0.00005,3,16,1,.008213000,428,17,53733.7
0.00005,4,1,2,.005187000,126,249,2.45228e+06
0.00005,5,4,2,.005107000,150,46,450280
0.00005,6,16,2,.005724000,380,28,100448
0.00005,7,1,4,.005466000,50,76,704519
0.00005,8,4,4,.005181000,126,86,605813
0.00005,9,16,4,.005548000,479,103,262866
0.00005,10,1,16,.004915000,35,217,1.10599e+06
0.00005,11,4,16,.005510000,269,441,1.07002e+06
0.00005,12,16,16,.005671000,520,113,218404
0.00006,1,1,1,.005218000,151,116,1.19552e+06
0.00006,2,4,1,.005068000,149,16,158416
0.00006,3,16,1,.005421000,458,41,120662
0.00006,4,1,2,.005291000,67,98,951132
0.00006,5,4,2,.005782000,150,87,581019
0.00006,6,16,2,.005840000,558,28,85420
0.00006,7,1,4,.005380000,34,107,788940
0.00006,8,4,4,.005910000,168,81,508729
0.00006,9,16,4,.005519000,446,34,111521
0.00006,10,1,16,.005826000,40,255,1.05049e+06
0.00006,11,4,16,.005519000,189,338,1.10516e+06
0.00006,12,16,16,.006405000,801,229,370585
0.00007,1,1,1,.005082000,180,177,1.56391e+06
0.00007,2,4,1,.005543000,135,58,443595
0.00007,3,16,1,.005760000,420,5,16172.5
0.00007,4,1,2,.005040000,197,325,2.71541e+06
0.00007,5,4,2,.005252000,237,90,382435
0.00007,6,16,2,.005581000,327,30,114723
0.00007,7,1,4,.004800000,52,170,1.22311e+06
0.00007,8,4,4,.005384000,180,118,688593
0.00007,9,16,4,.006424000,730,48,111790
